Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Biocoin_Motherboard_v1.0_1\Project Outputs for Biocoin_Motherboard_v1.0\Pick Place\Pick Place for Biocoin_Motherboard.txt

========================================================================================================================
File Design Information:

Date:       02/10/25
Time:       14:09
Revision:   457b285821c5e21ad6def06b4ab4015e40e3c4e9
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                             
J23        1725708              TopLayer    1725708                        1953.000      1947.000      270      Connector                                                               
S2         B3U-1000P            TopLayer    SW_B3U-1000P                   1585.000      567.000       0        "SWITCH TACTILE SPST-NO 0.05A 12V"                                      
R16        RES                  BottomLayer 0805-RES                       1533.000      549.000       270      "Surface Mount Resistor"                                                
R15        RES                  BottomLayer 0805-RES                       1645.000      549.000       90       "Surface Mount Resistor"                                                
R14        RES                  BottomLayer 0805-RES                       1188.000      611.000       90       "Surface Mount Resistor"                                                
D4         SLI-343V8RC3F        TopLayer    LED_SLI-343D_ROM               1348.000      460.000       90       "No Description Available"                                              
D3         SLI-343V8RC3F        TopLayer    LED_SLI-343D_ROM               1189.000      460.000       90       "No Description Available"                                              
D2         SLI-343V8RC3F        TopLayer    LED_SLI-343D_ROM               407.000       754.818       0        "No Description Available"                                              
J22        1725708              TopLayer    1725708                        1953.000      1198.000      270      Connector                                                               
U2         AP2171WG-7           TopLayer    SOT25_DIO-M                    681.000       560.000       0        "No Description Available"                                              
C14        CAP                  BottomLayer 0805-CAP                       555.003       562.000       90       "Multilayer Chip Capacitor"                                             
C13        CAP                  BottomLayer 0805-CAP                       665.003       562.000       90       "Multilayer Chip Capacitor"                                             
R4         RES                  BottomLayer 0805-RES                       779.000       562.000       270      "Surface Mount Resistor"                                                
J21        "Header 2x1"         TopLayer    Header_1x2                     1592.000      2057.000      0        "Pin Header 2x1"                                                        
C12        CAP                  BottomLayer 0805-CAP                       1011.685      342.000       180      "Multilayer Chip Capacitor"                                             
C11        CAP                  BottomLayer 0805-CAP                       612.997       339.000       270      "Multilayer Chip Capacitor"                                             
J7         SHF-105-01-L-D-SM    TopLayer    SAMTEC_SHF-105-01-L-D-SM       1917.000      501.000       90       "SHF - Samtec Wire-to-Board 1.27mm Surface Mount Shrouded Header"       
U1         MCP73831T-2ACI/OT    TopLayer    SOT23-5                        683.000       353.000       0        "Charger IC Lithium Ion/Polymer SOT-23-5"                               
TP3        5011                 TopLayer    KSTN-5011_V                    702.000       142.000       0        "PC TEST POINT MULTIPURPOSE BLACK"                                      
TP1        5010                 TopLayer    KSTN-5010_V                    380.000       142.000       0        "PC TEST POINT MULTIPURPOSE RED"                                        
SC4        ScrewHole            TopLayer    ScrowHole                      1991.000      2495.000      0        "Scrow Hole"                                                            
SC3        ScrewHole            TopLayer    ScrowHole                      109.000       2495.000      0        "Scrow Hole"                                                            
SC2        ScrewHole            TopLayer    ScrowHole                      1991.000      109.000       0        "Scrow Hole"                                                            
SC1        ScrewHole            TopLayer    ScrowHole                      109.000       109.000       0        "Scrow Hole"                                                            
